[MAP_INFOR]
1024	432	272	240
[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas,4 = Flower, 5 = Ground, 6 = ColorBox, 7 = Pipe, 8 = QuestionBrick, 9 = WeakBreak, 10 = CloundBrick, 11 = Coin, 12 = Bullet
# Ground
5	0	416	22	64	1

# Qbrick
8	624	176	21	1	1	1

#coin
11	176	352	5	1	1	12
11	208	352	5	1	1	12
11	240	352	5	1	1	12
11	272	352	5	1	1	12
11	192	336	5	1	1	12
11	224	336	5	1	1	12
11	256	336	5	1	1	12
11	352	352	5	1	1	12
11	384	352	5	1	1	12
11	416	352	5	1	1	12
11	336	336	5	1	1	12
11	368	336	5	1	1	12
11	400	336	5	1	1	12
11	432	336	5	1	1	12
11	480	352	5	1	1	12
11	512	352	5	1	1	12
11	544	352	5	1	1	12
11	576	352	5	1	1	12
11	496	336	5	1	1	12
11	528	336	5	1	1	12
11	560	336	5	1	1	12
11	640	352	5	1	1	12
11	672	352	5	1	1	12
11	704	352	5	1	1	12
11	624	336	5	1	1	12
11	656	336	5	1	1	12
11	688	336	5	1	1	12
11	720	336	5	1	1	12
11	768	352	5	1	1	12
11	800	352	5	1	1	12
11	832	352	5	1	1	12
11	864	352	5	1	1	12
11	784	336	5	1	1	12
11	816	336	5	1	1	12
11	848	336	5	1	1	12
11	608	128	5	1	1	12
11	624	128	5	1	1	12
11	640	128	5	1	1	12
11	592	144	5	1	1	12
11	608	144	5	1	1	12
11	640	144	5	1	1	12
11	656	144	5	1	1	12
11	576	160	5	1	1	12
11	592	160	5	1	1	12
11	656	160	5	1	1	12
11	672	160	5	1	1	12
11	576	176	5	1	1	12
11	672	176	5	1	1	12
11	576	192	5	1	1	12
11	592	192	5	1	1	12
11	656	192	5	1	1	12
11	672	192	5	1	1	12
11	592	208	5	1	1	12
11	608	208	5	1	1	12
11	640	208	5	1	1	12
11	656	208	5	1	1	12
11	608	224	5	1	1	12
11	624	224	5	1	1	12
11	640	224	5	1	1	12
